PID: 6505
Namespace(batch_size=None, epochs=None, filelist='../../data/raccoon_partseg/train_val_files.txt', filelist_val='../../data/raccoon_partseg/test_files.txt', load_ckpt=None, log='log.txt', model='pointcnn_seg', no_code_backup=False, no_timestamp_folder=False, save_folder='../../models/seg/', setting='raccoon_x8_1024_fps')
2019-12-04 14:31:49.042542-Preparing datasets...
2019-12-04 14:31:49.062377-62/31 training/validation samples.
2019-12-04 14:31:49.062397-7936 training batches.
2019-12-04 14:31:49.062408-4 testing batches per test.
Tensor("pts_fts_sampled:0", shape=(?, ?, 3), dtype=float32)
Tensor("xforms:0", shape=(?, 3, 3), dtype=float32)
Tensor("jitter_range:0", shape=(1,), dtype=float32)
2019-12-04 14:32:05.342406-Parameter number: 8314948.
2019-12-04 14:32:22.528131-[Train]-Iter: 000001  Loss: 2.1562  T-1 Acc: 0.2788  T-1 mAcc: 0.2536
2019-12-04 14:32:27.182108-[Train]-Iter: 000011  Loss: 1.2156  T-1 Acc: 0.5667  T-1 mAcc: 0.3714
2019-12-04 14:32:31.688673-[Train]-Iter: 000021  Loss: 0.6521  T-1 Acc: 0.8162  T-1 mAcc: 0.5807
2019-12-04 14:32:36.136232-[Train]-Iter: 000031  Loss: 0.3763  T-1 Acc: 0.8953  T-1 mAcc: 0.7549
2019-12-04 14:32:40.642689-[Train]-Iter: 000041  Loss: 0.3505  T-1 Acc: 0.8885  T-1 mAcc: 0.7767
2019-12-04 14:32:44.936047-[Train]-Iter: 000051  Loss: 0.2689  T-1 Acc: 0.9108  T-1 mAcc: 0.8192
2019-12-04 14:32:49.156322-[Train]-Iter: 000061  Loss: 0.1948  T-1 Acc: 0.9353  T-1 mAcc: 0.8875
2019-12-04 14:32:53.558155-[Train]-Iter: 000071  Loss: 0.1555  T-1 Acc: 0.9454  T-1 mAcc: 0.8982
2019-12-04 14:32:57.819823-[Train]-Iter: 000081  Loss: 0.1336  T-1 Acc: 0.9575  T-1 mAcc: 0.9123
2019-12-04 14:33:01.967960-[Train]-Iter: 000091  Loss: 0.1170  T-1 Acc: 0.9598  T-1 mAcc: 0.9163
2019-12-04 14:33:06.423255-[Train]-Iter: 000101  Loss: 0.0893  T-1 Acc: 0.9684  T-1 mAcc: 0.9409
2019-12-04 14:33:10.799437-[Train]-Iter: 000111  Loss: 0.0834  T-1 Acc: 0.9695  T-1 mAcc: 0.9491
2019-12-04 14:33:15.079143-[Train]-Iter: 000121  Loss: 0.0917  T-1 Acc: 0.9674  T-1 mAcc: 0.9517
2019-12-04 14:33:19.659500-[Train]-Iter: 000131  Loss: 0.0965  T-1 Acc: 0.9637  T-1 mAcc: 0.9400
2019-12-04 14:33:23.815306-[Train]-Iter: 000141  Loss: 0.0887  T-1 Acc: 0.9670  T-1 mAcc: 0.9512
2019-12-04 14:33:27.977970-[Train]-Iter: 000151  Loss: 0.0817  T-1 Acc: 0.9690  T-1 mAcc: 0.9397
